"response_var","impulse_var","horizon","percentage","dataset","model_name"
"U","prod",3,0.0371851407474491,"Canada","VAR2_Canada"
"U","rw",3,0.0203557963622087,"Canada","VAR2_Canada"
"U","U",3,0.163671579182467,"Canada","VAR2_Canada"
"U","e",4,0.759660853997207,"Canada","VAR2_Canada"
"U","prod",4,0.0791978597421589,"Canada","VAR2_Canada"
"U","rw",4,0.0463713925683025,"Canada","VAR2_Canada"
"U","U",4,0.114769893692332,"Canada","VAR2_Canada"
"U","e",5,0.688615628398356,"Canada","VAR2_Canada"
"U","prod",5,0.128139114039117,"Canada","VAR2_Canada"
"U","rw",5,0.076164201452468,"Canada","VAR2_Canada"
"U","U",5,0.107081056110058,"Canada","VAR2_Canada"
"U","e",6,0.595473330942073,"Canada","VAR2_Canada"
"U","prod",6,0.178008698471812,"Canada","VAR2_Canada"
"U","rw",6,0.103964487452152,"Canada","VAR2_Canada"
"U","U",6,0.122553483133963,"Canada","VAR2_Canada"
"U","e",7,0.502612522688444,"Canada","VAR2_Canada"
"U","prod",7,0.224371196688939,"Canada","VAR2_Canada"
"U","rw",7,0.125721702501291,"Canada","VAR2_Canada"
"U","U",7,0.147294578121326,"Canada","VAR2_Canada"
"U","e",8,0.422941589549571,"Canada","VAR2_Canada"
"U","prod",8,0.264861488569626,"Canada","VAR2_Canada"
"U","rw",8,0.140012873496441,"Canada","VAR2_Canada"
"U","U",8,0.172184048384362,"Canada","VAR2_Canada"
"U","e",9,0.361174300248444,"Canada","VAR2_Canada"
"U","prod",9,0.298826924651444,"Canada","VAR2_Canada"
"U","rw",9,0.147393856713369,"Canada","VAR2_Canada"
"U","U",9,0.192604918386742,"Canada","VAR2_Canada"
"U","e",10,0.316876741483876,"Canada","VAR2_Canada"
"U","prod",10,0.326625989892871,"Canada","VAR2_Canada"
"U","rw",10,0.149367650301629,"Canada","VAR2_Canada"
"U","U",10,0.207129618321625,"Canada","VAR2_Canada"
"gdp_growth","gdp_growth",1,1,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","inflation",1,0,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","interest_rate",1,0,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","gdp_growth",2,0.822706497072478,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","inflation",2,0.00747140361225047,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","interest_rate",2,0.169822099315272,"macro_panel_USA","VAR2_macro_USA"
