"model_name","variable","coefficient","std_error","statistic","p_value","sigma_v","sigma_u","sigma_v_sq","sigma_u_sq","gamma","lambda_param","log_likelihood","aic","bic","mean_te"
"sfa_truncated_normal","urban",0.0362211301583623,0.0187645055177099,1.93030027485546,0.0535696430227489,0.040281123087053,0.144780761343879,0.00162256887715432,0.0209614688553133,0.928154172589711,3.59425830881101,114.390821775519,-210.781643551038,-181.096787252105,0.77312167019166
"sfa_truncated_normal","sigmaSq",0.0225840377324676,0.00351506749106587,6.42492293245257,1.31936343207378e-10,0.040281123087053,0.144780761343879,0.00162256887715432,0.0209614688553133,0.928154172589711,3.59425830881101,114.390821775519,-210.781643551038,-181.096787252105,0.77312167019166
"sfa_truncated_normal","gamma",0.928154172589711,0.0830466884414924,11.1762936007209,5.32685269357235e-29,0.040281123087053,0.144780761343879,0.00162256887715432,0.0209614688553133,0.928154172589711,3.59425830881101,114.390821775519,-210.781643551038,-181.096787252105,0.77312167019166
"sfa_truncated_normal","mu",0.252865127417277,0.0458488266892381,5.51519298696974,3.48397438246927e-08,0.040281123087053,0.144780761343879,0.00162256887715432,0.0209614688553133,0.928154172589711,3.59425830881101,114.390821775519,-210.781643551038,-181.096787252105,0.77312167019166
"sfa_ricefarm_hn","(Intercept)",-1.0432437770419,0.257053236270438,-4.05847361495317,4.93945130266485e-05,0.165381416058226,0.459648578397362,0.027351012777424,0.211276815622716,0.885382132667441,2.77932423940265,-86.2026818103577,184.405363620715,207.449213564956,0.722976864376311
"sfa_ricefarm_hn","log(AREA)",0.355511813761293,0.0610127757362068,5.82684215677015,5.64859905498768e-09,0.165381416058226,0.459648578397362,0.027351012777424,0.211276815622716,0.885382132667441,2.77932423940265,-86.2026818103577,184.405363620715,207.449213564956,0.722976864376311
"sfa_ricefarm_hn","log(LABOR)",0.333298402318082,0.0634799472751799,5.25045178240718,1.51726618272543e-07,0.165381416058226,0.459648578397362,0.027351012777424,0.211276815622716,0.885382132667441,2.77932423940265,-86.2026818103577,184.405363620715,207.449213564956,0.722976864376311
"sfa_ricefarm_hn","log(NPK)",0.271277655491534,0.0353048918525575,7.68385459512128,1.54371871324239e-14,0.165381416058226,0.459648578397362,0.027351012777424,0.211276815622716,0.885382132667441,2.77932423940265,-86.2026818103577,184.405363620715,207.449213564956,0.722976864376311
"sfa_ricefarm_hn","sigmaSq",0.23862782840014,0.026019259226277,9.17119993020973,4.67782599690792e-20,0.165381416058226,0.459648578397362,0.027351012777424,0.211276815622716,0.885382132667441,2.77932423940265,-86.2026818103577,184.405363620715,207.449213564956,0.722976864376311
"sfa_ricefarm_hn","gamma",0.885382132667441,0.033675931901581,26.2912437064845,2.41504402943513e-152,0.165381416058226,0.459648578397362,0.027351012777424,0.211276815622716,0.885382132667441,2.77932423940265,-86.2026818103577,184.405363620715,207.449213564956,0.722976864376311
